"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jan 05 14:47:24 GMT 2024","Fri Jan 05 14:47:25 GMT 2024","972","Tests for Automation Exercise website","Products tests","Tests for features, related to Products page","","","Verify All Products and product detail page",""
"passed","Fri Jan 05 14:47:21 GMT 2024","Fri Jan 05 14:47:23 GMT 2024","1916","Tests for Automation Exercise website","Miscellaneous tests","Tests for miscellaneous features","","","Verify Subscription in home page",""
"passed","Fri Jan 05 14:47:27 GMT 2024","Fri Jan 05 14:47:28 GMT 2024","1055","Tests for Automation Exercise website","Products tests","Tests for features, related to Products page","","","Search Product",""
"passed","Fri Jan 05 14:47:15 GMT 2024","Fri Jan 05 14:47:16 GMT 2024","890","Tests for Automation Exercise website","Authorization tests","Tests for features, related to authentication and authorization","","","Register User with existing email",""
"passed","Fri Jan 05 14:47:12 GMT 2024","Fri Jan 05 14:47:14 GMT 2024","1368","Tests for Automation Exercise website","Authorization tests","Tests for features, related to authentication and authorization","","","Logout User",""
"passed","Fri Jan 05 14:47:11 GMT 2024","Fri Jan 05 14:47:11 GMT 2024","803","Tests for Automation Exercise website","Authorization tests","Tests for features, related to authentication and authorization","","","Login User with incorrect email and password",""
"passed","Fri Jan 05 14:47:20 GMT 2024","Fri Jan 05 14:47:20 GMT 2024","515","Tests for Automation Exercise website","Miscellaneous tests","Tests for miscellaneous features","","","Verify Test Cases Page",""
"passed","Fri Jan 05 14:47:00 GMT 2024","Fri Jan 05 14:47:05 GMT 2024","5145","Tests for Automation Exercise website","Authorization tests","Tests for features, related to authentication and authorization","","","Register User",""
"passed","Fri Jan 05 14:47:06 GMT 2024","Fri Jan 05 14:47:09 GMT 2024","3393","Tests for Automation Exercise website","Authorization tests","Tests for features, related to authentication and authorization","","","Login User with correct email and password",""
"passed","Fri Jan 05 14:47:17 GMT 2024","Fri Jan 05 14:47:19 GMT 2024","2345","Tests for Automation Exercise website","Miscellaneous tests","Tests for miscellaneous features","","","Contact Us Form",""
